style,intensity,topic,caption
corporate,0.57,work-life balance,Aligning stakeholders around work-life balance.
wholesome,0.37,office politics,You’re stronger than office politics.
genz,0.94,salary negotiations,me dealing with salary negotiations: absolutely not.
wholesome,0.76,work-life balance,You’re stronger than work-life balance.
corporate,0.92,meetings,Leveraging meetings for improved outcomes.
genz,0.44,office politics,office politics is literally my villain origin story
dark,0.99,startups,startups is just a reminder that time is winning.
corporate,0.2,long commutes,Driving synergies to resolve long commutes.
genz,0.81,job applications,job applications but make it emotionally exhausting.
sarcastic,0.58,long commutes,I love how long commutes ruins everything.
corporate,0.9,deadlines,Driving synergies to resolve deadlines.
wholesome,0.64,college life,One step at a time with college life. You’ve got this.
corporate,0.43,presentations,Driving synergies to resolve presentations.
sarcastic,0.34,burnout,"Oh sure, because burnout always works perfectly."
corporate,0.35,deadlines,Optimizing bandwidth to address deadlines.
sarcastic,0.31,office politics,Nothing screams success like office politics.
dark,0.48,side hustles,side hustles is just a reminder that time is winning.
sarcastic,0.96,burnout,I love how burnout ruins everything.
corporate,0.61,burnout,Aligning stakeholders around burnout.
sarcastic,0.37,presentations,"presentations? Yeah, what could possibly go wrong."
sarcastic,0.54,emails,"emails? Yeah, what could possibly go wrong."
corporate,0.57,procrastination,Aligning stakeholders around procrastination.
corporate,0.27,procrastination,Leveraging procrastination for improved outcomes.
genz,0.77,startups,me dealing with startups: absolutely not.
dark,0.66,work-life balance,work-life balance never forgets. Never forgives.
dark,0.56,emails,"Eventually, emails gets us all."
sarcastic,0.54,interviews,"interviews? Yeah, what could possibly go wrong."
wholesome,0.57,exams,"No matter what, exams doesn’t define your worth."
sarcastic,0.74,job applications,I love how job applications ruins everything.
wholesome,0.45,deadlines,One step at a time with deadlines. You’ve got this.
corporate,0.58,side hustles,Driving synergies to resolve side hustles.
sarcastic,0.47,meetings,"Oh sure, because meetings always works perfectly."
sarcastic,0.67,interviews,I love how interviews ruins everything.
genz,0.88,performance reviews,performance reviews but make it emotionally exhausting.
wholesome,0.38,group projects,You’re stronger than group projects.
wholesome,0.94,office politics,"No matter what, office politics doesn’t define your worth."
corporate,0.4,performance reviews,Leveraging performance reviews for improved outcomes.
dark,0.43,deadlines,deadlines never forgets. Never forgives.
genz,0.48,work-life balance,work-life balance?? nah bestie
dark,0.88,waking up early,"Another day, another round of waking up early."
genz,0.98,side hustles,me dealing with side hustles: absolutely not.
wholesome,0.39,college life,"college life is hard, but you’re doing your best."
wholesome,0.7,presentations,"presentations is hard, but you’re doing your best."
corporate,0.89,presentations,Driving synergies to resolve presentations.
genz,0.27,work-life balance,work-life balance?? nah bestie
wholesome,0.66,performance reviews,"No matter what, performance reviews doesn’t define your worth."
corporate,0.51,performance reviews,Aligning stakeholders around performance reviews.
genz,0.4,meetings,meetings?? nah bestie
sarcastic,0.52,work-life balance,Nothing screams success like work-life balance.
genz,0.8,work-life balance,work-life balance?? nah bestie
wholesome,0.92,deadlines,You’re stronger than deadlines.
genz,0.24,interviews,interviews?? nah bestie
wholesome,0.88,work-life balance,One step at a time with work-life balance. You’ve got this.
genz,0.23,emails,emails?? nah bestie
genz,0.63,emails,emails?? nah bestie
sarcastic,0.84,job applications,I love how job applications ruins everything.
wholesome,0.49,meetings,You’re stronger than meetings.
dark,0.7,procrastination,"Another day, another round of procrastination."
genz,0.96,group projects,group projects but make it emotionally exhausting.
corporate,0.98,long commutes,Aligning stakeholders around long commutes.
corporate,0.43,college life,Optimizing bandwidth to address college life.
wholesome,0.87,emails,You’re stronger than emails.
genz,0.46,exams,exams?? nah bestie
corporate,0.74,procrastination,Driving synergies to resolve procrastination.
dark,0.94,deadlines,deadlines never forgets. Never forgives.
sarcastic,0.41,emails,Nothing screams success like emails.
dark,0.59,performance reviews,performance reviews is just a reminder that time is winning.
dark,0.6,job applications,job applications is just a reminder that time is winning.
corporate,0.25,interviews,Driving synergies to resolve interviews.
wholesome,0.73,group projects,"group projects is hard, but you’re doing your best."
wholesome,0.94,waking up early,"No matter what, waking up early doesn’t define your worth."
genz,0.5,deadlines,deadlines is literally my villain origin story
sarcastic,0.76,college life,"Oh sure, because college life always works perfectly."
sarcastic,0.31,deadlines,"Oh sure, because deadlines always works perfectly."
genz,0.95,interviews,interviews is literally my villain origin story
corporate,0.83,exams,Aligning stakeholders around exams.
dark,0.36,monday mornings,"Another day, another round of monday mornings."
dark,0.72,group projects,"Eventually, group projects gets us all."
wholesome,0.42,performance reviews,One step at a time with performance reviews. You’ve got this.
dark,0.88,meetings,meetings is just a reminder that time is winning.
dark,0.67,deadlines,deadlines never forgets. Never forgives.
corporate,0.7,procrastination,Optimizing bandwidth to address procrastination.
wholesome,0.67,long commutes,"long commutes is hard, but you’re doing your best."
genz,0.47,long commutes,long commutes?? nah bestie
genz,0.61,presentations,presentations?? nah bestie
corporate,0.87,meetings,Leveraging meetings for improved outcomes.
sarcastic,0.85,work-life balance,"Oh sure, because work-life balance always works perfectly."
genz,0.31,monday mornings,monday mornings but make it emotionally exhausting.
genz,0.72,college life,me dealing with college life: absolutely not.
dark,0.75,presentations,"Another day, another round of presentations."
wholesome,0.88,exams,"No matter what, exams doesn’t define your worth."
sarcastic,0.72,side hustles,"side hustles? Yeah, what could possibly go wrong."
sarcastic,0.33,long commutes,I love how long commutes ruins everything.
sarcastic,0.55,office politics,I love how office politics ruins everything.
genz,0.28,performance reviews,performance reviews but make it emotionally exhausting.
sarcastic,0.66,presentations,Nothing screams success like presentations.
genz,0.61,salary negotiations,salary negotiations?? nah bestie
sarcastic,0.3,interviews,Nothing screams success like interviews.
corporate,0.45,salary negotiations,Driving synergies to resolve salary negotiations.
dark,0.29,college life,college life is just a reminder that time is winning.
genz,0.2,emails,emails but make it emotionally exhausting.
corporate,0.84,long commutes,Driving synergies to resolve long commutes.
dark,0.58,procrastination,procrastination is just a reminder that time is winning.
sarcastic,0.48,procrastination,"Oh sure, because procrastination always works perfectly."
corporate,0.6,deadlines,Driving synergies to resolve deadlines.
sarcastic,0.85,group projects,"group projects? Yeah, what could possibly go wrong."
wholesome,0.57,group projects,One step at a time with group projects. You’ve got this.
dark,0.66,waking up early,waking up early never forgets. Never forgives.
dark,0.34,procrastination,procrastination is just a reminder that time is winning.
sarcastic,0.82,group projects,Nothing screams success like group projects.
dark,0.29,work-life balance,work-life balance never forgets. Never forgives.
genz,0.24,waking up early,me dealing with waking up early: absolutely not.
sarcastic,0.88,group projects,"group projects? Yeah, what could possibly go wrong."
sarcastic,0.88,work-life balance,"work-life balance? Yeah, what could possibly go wrong."
genz,0.64,meetings,me dealing with meetings: absolutely not.
genz,0.38,group projects,me dealing with group projects: absolutely not.
corporate,0.4,waking up early,Leveraging waking up early for improved outcomes.
corporate,1.0,deadlines,Aligning stakeholders around deadlines.
corporate,0.64,startups,Aligning stakeholders around startups.
wholesome,0.28,group projects,"No matter what, group projects doesn’t define your worth."
corporate,0.67,deadlines,Aligning stakeholders around deadlines.
dark,0.3,procrastination,"Eventually, procrastination gets us all."
wholesome,0.48,presentations,You’re stronger than presentations.
dark,0.5,deadlines,"Another day, another round of deadlines."
sarcastic,0.74,interviews,"Oh sure, because interviews always works perfectly."
wholesome,0.92,deadlines,"No matter what, deadlines doesn’t define your worth."
